window_id,start_ref,start_test,end_test,mmd_stat_q,p_q,kernel_var,n_sub_total,n_sub_X,n_sub_Y,perm_time_s,total_time_s,error
1053,526500,530500,531500,-8.29549283135056e-06,0.43137254901960786,0.021599352615434272,200,160,40,0.008270263671875,1.2865183353424072,
1060,530000,534000,535000,0.020316752003892075,0.0196078431372549,0.018638007724529466,200,160,40,0.016199588775634766,1.2897279262542725,
1068,534000,538000,539000,0.00047588951008886715,0.39215686274509803,0.02140926509448904,200,160,40,0.010573148727416992,1.3421130180358887,
1076,538000,542000,543000,0.0009833579776553358,0.4117647058823529,0.01433422525907067,200,160,40,0.0072307586669921875,1.5965747833251953,
1084,542000,546000,547000,0.012941433240768019,0.058823529411764705,0.01824640030376972,200,160,40,0.009862661361694336,1.29500412940979,
1092,546000,550000,551000,0.007430218088889412,0.13725490196078433,0.023151442116876822,200,160,40,0.011353254318237305,1.385298728942871,
1100,550000,554000,555000,-0.003985699989112412,0.6862745098039216,0.024841551206028708,200,160,40,0.011810302734375,1.395681619644165,
1108,554000,558000,559000,0.011100187707849374,0.11764705882352941,0.022398962805225152,200,160,40,0.01587510108947754,1.372628927230835,
1115,557500,561500,562500,0.0029584840018176684,0.23529411764705882,0.025369024005344906,200,160,40,0.00775909423828125,1.2833552360534668,
1123,561500,565500,566500,0.0056837846111076895,0.0784313725490196,0.01967150401611305,200,160,40,0.0,1.310256004333496,
1131,565500,569500,570500,0.009828084950624066,0.09803921568627451,0.023619908486867954,200,160,40,0.009255409240722656,1.2872238159179688,
1139,569500,573500,574500,0.012022169380039527,0.058823529411764705,0.018921758948994744,200,160,40,0.009016990661621094,1.313234567642212,
1147,573500,577500,578500,-0.0025086854025080374,0.49019607843137253,0.03146765137033586,200,160,40,0.008062601089477539,1.433210849761963,
1155,577500,581500,582500,-0.0057191272328608045,0.9019607843137255,0.018084235850372374,200,160,40,0.00704193115234375,1.3021659851074219,
1163,581500,585500,586500,-0.005592862875978377,0.8431372549019608,0.0183718252314545,200,160,40,0.021242141723632812,1.4379444122314453,
1171,585500,589500,590500,-0.001421167794654149,0.5294117647058824,0.02214125888578982,200,160,40,0.008154869079589844,1.3463938236236572,
